gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
440916524	2356f899-6244-4bbb-aa33-50e29132e86a	MZLU:ENT:141713	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi  (Kaltenbach,1843)	(Kaltenbach,1843)	US	Contact the museum for more info	Colorado	PRESENT	1	ee6a779a-dce6-4f16-ae3d-84f495def86e													2077143	2077143	PRESERVED_SPECIMEN	MZLU	Entomology	141713				CC_BY_NC_4_0					2024-01-06T02:04:25.105Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
440916523	2356f899-6244-4bbb-aa33-50e29132e86a	MZLU:ENT:141712	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi  (Kaltenbach,1843)	(Kaltenbach,1843)	SE	Contact the museum for more info		PRESENT	49	ee6a779a-dce6-4f16-ae3d-84f495def86e													2077143	2077143	PRESERVED_SPECIMEN	MZLU	Entomology	141712				CC_BY_NC_4_0					2024-01-06T02:04:25.283Z		CONTINENT_DERIVED_FROM_COUNTRY;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
440916522	2356f899-6244-4bbb-aa33-50e29132e86a	MZLU:ENT:141711	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi  (Kaltenbach,1843)	(Kaltenbach,1843)	IN	Contact the museum for more info		PRESENT	2	ee6a779a-dce6-4f16-ae3d-84f495def86e													2077143	2077143	PRESERVED_SPECIMEN	MZLU	Entomology	141711				CC_BY_NC_4_0					2024-01-06T02:04:25.271Z		CONTINENT_DERIVED_FROM_COUNTRY;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
440916521	2356f899-6244-4bbb-aa33-50e29132e86a	MZLU:ENT:141710	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi  (Kaltenbach,1843)	(Kaltenbach,1843)	GR	Contact the museum for more info		PRESENT	3	ee6a779a-dce6-4f16-ae3d-84f495def86e													2077143	2077143	PRESERVED_SPECIMEN	MZLU	Entomology	141710				CC_BY_NC_4_0					2024-01-06T02:04:24.251Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
440916520	2356f899-6244-4bbb-aa33-50e29132e86a	MZLU:ENT:141709	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi  (Kaltenbach,1843)	(Kaltenbach,1843)	CA	Contact the museum for more info	Manitoba	PRESENT	1	ee6a779a-dce6-4f16-ae3d-84f495def86e													2077143	2077143	PRESERVED_SPECIMEN	MZLU	Entomology	141709				CC_BY_NC_4_0					2024-01-06T02:04:24.216Z		CONTINENT_DERIVED_FROM_COUNTRY;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4101638797	7e380070-f762-11e1-a439-00145eb45e9a	f9cf03f0-f6f5-4ea5-aaf2-bc836441f22f	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi Kaltenbach, 1843	Kaltenbach, 1843	JP			PRESENT	1	19456090-b49a-11d8-abeb-b8a03c50a862			344.46										2077143	2077143	PRESERVED_SPECIMEN	NHMUK	BMNH(E)	NHMUK015378538				CC0_1_0					2024-01-02T06:24:05.869Z	StillImage	MODIFIED_DATE_INVALID;MULTIMEDIA_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101638794	7e380070-f762-11e1-a439-00145eb45e9a	dc679f0c-3a24-44af-8b92-d9aed38cb9e7	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi Kaltenbach, 1843	Kaltenbach, 1843	IN			PRESENT	1	19456090-b49a-11d8-abeb-b8a03c50a862			1001.69										2077143	2077143	PRESERVED_SPECIMEN	NHMUK	BMNH(E)	NHMUK015379013				CC0_1_0					2024-01-02T06:24:04.241Z	StillImage	MODIFIED_DATE_INVALID;MULTIMEDIA_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101638792	7e380070-f762-11e1-a439-00145eb45e9a	4f03325e-ab3e-4786-868b-19bfa43da9de	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi Kaltenbach, 1843	Kaltenbach, 1843	SB			PRESENT	1	19456090-b49a-11d8-abeb-b8a03c50a862			95.27										2077143	2077143	PRESERVED_SPECIMEN	NHMUK	BMNH(E)	NHMUK015379105				CC0_1_0					2024-01-02T06:24:05.869Z	StillImage	MODIFIED_DATE_INVALID;MULTIMEDIA_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101638791	7e380070-f762-11e1-a439-00145eb45e9a	c0b7c90b-0c6d-4ea0-8b2c-7235c7b85fac	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi Kaltenbach, 1843	Kaltenbach, 1843	JP			PRESENT	1	19456090-b49a-11d8-abeb-b8a03c50a862			344.46										2077143	2077143	PRESERVED_SPECIMEN	NHMUK	BMNH(E)	NHMUK015378505				CC0_1_0					2024-01-02T06:24:04.241Z	StillImage	MODIFIED_DATE_INVALID;MULTIMEDIA_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4101638789	7e380070-f762-11e1-a439-00145eb45e9a	8ef5416b-809f-487d-8c39-8dc10cd35c1d	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi Kaltenbach, 1843	Kaltenbach, 1843	IN			PRESENT	1	19456090-b49a-11d8-abeb-b8a03c50a862			1001.69										2077143	2077143	PRESERVED_SPECIMEN	NHMUK	BMNH(E)	NHMUK015378815				CC0_1_0					2024-01-02T06:24:05.869Z	StillImage	MODIFIED_DATE_INVALID;MULTIMEDIA_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
